City,Zone,Date Time,Latitude,Longitude,Road Length (KM),Current Speed (KMPH),Free Flow Speed (KMPH),Traffic Count (Vehicles/Hour),News Title,Published At,Source,URL
Bangalore,Hebbal,2024-09-22 15:02:09,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-09-15 15:02:10,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-09-15 15:02:10,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-09-15 15:02:10,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-09-15 15:02:10,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-09-15 15:02:10,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
Bangalore,Hebbal,2024-09-15 15:02:10,13.0358,77.597,2.0,29,48,7008,Bengaluru resident moves high court again over bad road,2024-11-30T18:46:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-resident-files-fresh-contempt-petition-against-bbmp-over-road-asphalting-delays/articleshow/115851156.cms
Bangalore,Hebbal,2024-09-15 15:02:10,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-09-08 15:02:10,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-09-08 15:02:10,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-09-08 15:02:10,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-09-08 15:02:10,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-09-08 15:02:10,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
Bangalore,Hebbal,2024-09-08 15:02:10,13.0358,77.597,2.0,29,48,7008,Bengaluru resident moves high court again over bad road,2024-11-30T18:46:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-resident-files-fresh-contempt-petition-against-bbmp-over-road-asphalting-delays/articleshow/115851156.cms
Bangalore,Hebbal,2024-09-08 15:02:10,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-09-01 15:02:11,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-09-01 15:02:11,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-09-01 15:02:11,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-09-01 15:02:11,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-09-01 15:02:11,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
Bangalore,Hebbal,2024-09-01 15:02:11,13.0358,77.597,2.0,29,48,7008,Bengaluru resident moves high court again over bad road,2024-11-30T18:46:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-resident-files-fresh-contempt-petition-against-bbmp-over-road-asphalting-delays/articleshow/115851156.cms
Bangalore,Hebbal,2024-09-01 15:02:11,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-08-25 15:02:12,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-08-25 15:02:12,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-08-25 15:02:12,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-08-25 15:02:12,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-08-25 15:02:12,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
Bangalore,Hebbal,2024-08-25 15:02:12,13.0358,77.597,2.0,29,48,7008,Bengaluru resident moves high court again over bad road,2024-11-30T18:46:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-resident-files-fresh-contempt-petition-against-bbmp-over-road-asphalting-delays/articleshow/115851156.cms
Bangalore,Hebbal,2024-08-25 15:02:12,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-08-18 15:02:13,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-08-18 15:02:13,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-08-18 15:02:13,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-08-18 15:02:13,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-08-18 15:02:13,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
Bangalore,Hebbal,2024-08-18 15:02:13,13.0358,77.597,2.0,29,48,7008,Bengaluru resident moves high court again over bad road,2024-11-30T18:46:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-resident-files-fresh-contempt-petition-against-bbmp-over-road-asphalting-delays/articleshow/115851156.cms
Bangalore,Hebbal,2024-08-18 15:02:13,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-08-11 15:02:13,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-08-11 15:02:13,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-08-11 15:02:13,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-08-11 15:02:13,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-08-11 15:02:13,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
Bangalore,Hebbal,2024-08-11 15:02:13,13.0358,77.597,2.0,29,48,7008,Bengaluru resident moves high court again over bad road,2024-11-30T18:46:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-resident-files-fresh-contempt-petition-against-bbmp-over-road-asphalting-delays/articleshow/115851156.cms
Bangalore,Hebbal,2024-08-11 15:02:13,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-08-04 15:02:14,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-08-04 15:02:14,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-08-04 15:02:14,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-08-04 15:02:14,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-08-04 15:02:14,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
Bangalore,Hebbal,2024-08-04 15:02:14,13.0358,77.597,2.0,29,48,7008,Bengaluru resident moves high court again over bad road,2024-11-30T18:46:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-resident-files-fresh-contempt-petition-against-bbmp-over-road-asphalting-delays/articleshow/115851156.cms
Bangalore,Hebbal,2024-08-04 15:02:14,13.0358,77.597,2.0,29,48,7008,BIAL to build 2.5 km tunnel road to help decongest Bengaluru's eastern parts,2024-11-30T17:10:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/karnataka/bengaluru/bial-to-build-25-km-tunnel-road-to-help-decongest-bengalurus-eastern-parts-3298659
Bangalore,Hebbal,2024-07-28 15:02:15,13.0358,77.597,2.0,29,48,7008,"Bengaluru Metro’s Yellow Line stuck on the tracks amid train shortages, activists raise questions on contract to Chinese company",2024-12-01T11:43:00.0000000Z,The Hindu,https://www.thehindu.com/news/national/karnataka/bengaluru-metros-yellow-line-stuck-on-the-tracks-amid-train-shortages-activists-raise-questions-on-contract-to-chinese-company/article68934315.ece
Bangalore,Hebbal,2024-07-28 15:02:15,13.0358,77.597,2.0,29,48,7008,Bengaluru's HAL Airport Will Be Revamed For Starting Commercial Flights,2024-12-01T07:09:00.0000000Z,Trak.in - India Business Blog,https://trak.in/stories/bengalurus-hal-airport-will-be-revamed-for-commercial-flights/
Bangalore,Hebbal,2024-07-28 15:02:15,13.0358,77.597,2.0,29,48,7008,Traffic Police Worst Affected by the Honking Nuisance,2024-12-01T04:17:00.0000000Z,Deccan Chronicle,https://www.deccanchronicle.com/southern-states/telangana/traffic-police-worst-affected-by-the-honking-nuisance-1842891
Bangalore,Hebbal,2024-07-28 15:02:15,13.0358,77.597,2.0,29,48,7008,"ELT signal near Nagpur airport causes panic, cops find no sign of plane crash; probe on",2024-12-01T00:40:00.0000000Z,Deccan Herald,https://www.deccanherald.com/india/maharashtra/elt-signal-near-nagpur-airport-causes-panic-cops-find-no-sign-of-plane-crash-probe-on-3298693
Bangalore,Hebbal,2024-07-28 15:02:15,13.0358,77.597,2.0,29,48,7008,IT Chauraha gets new traffic system to ease congestion,2024-11-30T19:21:00.0000000Z,Indiatimes,https://timesofindia.indiatimes.com/city/lucknow/new-traffic-system-launched-at-it-chauraha-to-alleviate-congestion/articleshow/115851707.cms
